Date,Pos,Neg,Neu,neg_daily_prob,pos_daily_prob,neg_diff_prob,pos_diff_prob,polarity,polarity2,polarity_lag1,polarity_lag2,polarity_lag3,polarity2_lag1,polarity2_lag2,polarity2_lag3,polarity2_diff,polarity2diff_lag1,polarity2diff_lag2,Adj Close,Returns_pct,Returns_normal,Avg_past_3days,Avg_past_2days,pct_change_2days,pct_change_3days,movement,Previous_Close
2020-01-23,445,3104,6614,0.8746125669202592,0.12538743307974076,-0.007135505059175262,0.007135505059175207,0.7492251338405185,-0.7492251338405185,0.7634961439588689,,,-0.7634961439588689,,,0.014271010118350413,,,7507.7,-0.85,-0.008478717362881156,7611.33,7591.3,-0.5098085590024595,-1.0390255378100741,0,7571.9
2020-01-24,496,3215,6228,0.8663433036917273,0.1336566963082727,-0.008269263228531942,0.008269263228531942,0.7326866073834546,-0.7326866073834546,0.7492251338405185,0.7634961439588689,,-0.7492251338405185,-0.7634961439588689,,0.016538526457063885,0.014271010118350413,,7586.0,1.04,0.010429292592937942,7563.43,7539.8,-0.8478717362881156,-1.3533577726096155,1,7507.7
2020-01-25,442,2794,4960,0.8634116192830655,0.1365883807169345,-0.002931684408661761,0.002931684408661789,0.7268232385661311,-0.7268232385661311,0.7326866073834546,0.7492251338405185,0.7634961439588689,-0.7326866073834546,-0.7492251338405185,-0.7634961439588689,0.005863368817323522,0.016538526457063885,0.014271010118350413,7499.05,-1.15,-0.011461903506459243,7555.2,7546.85,1.0429292592937942,0.1862148205866475,0,7586.0
2020-01-26,452,2785,4698,0.8603645350633302,0.13963546493666976,-0.0030470842197353187,0.0030470842197352632,0.7207290701266605,-0.7207290701266605,0.7268232385661311,0.7326866073834546,0.7492251338405185,-0.7268232385661311,-0.7326866073834546,-0.7492251338405185,0.0060941684394705264,0.005863368817323522,0.016538526457063885,7455.58,-0.58,-0.005796734253005415,7530.92,7542.52,-1.1461903506459243,-0.11521504588621863,0,7499.05
2020-01-27,567,3271,5727,0.8522668056279312,0.14773319437206878,-0.008097729435398993,0.00809772943539902,0.7045336112558624,-0.7045336112558624,0.7207290701266605,0.7268232385661311,0.7326866073834546,-0.7207290701266605,-0.7268232385661311,-0.7326866073834546,0.016195458870798096,0.0060941684394705264,0.005863368817323522,7412.1,-0.58,-0.005831873576569437,7513.54,7477.32,-0.5796734253005414,-1.7192196150804122,0,7455.58
2020-01-28,582,3291,6494,0.8497288923315259,0.15027110766847404,-0.002537913296405292,0.002537913296405264,0.6994577846630519,-0.6994577846630519,0.7045336112558624,0.7207290701266605,0.7268232385661311,-0.7045336112558624,-0.7207290701266605,-0.7268232385661311,0.005075826592810584,0.016195458870798096,0.0060941684394705264,7480.7,0.93,0.00925513687079228,7455.58,7433.84,-0.5831873576569436,-1.1594802008254355,1,7412.1
2020-01-29,602,3065,5528,0.8358331060812654,0.16416689391873465,-0.013895786250260556,0.013895786250260611,0.6716662121625306,-0.6716662121625306,0.6994577846630519,0.7045336112558624,0.7207290701266605,-0.6994577846630519,-0.7045336112558624,-0.7207290701266605,0.027791572500521222,0.005075826592810584,0.016195458870798096,7483.6,0.04,0.00038766425601889474,7449.46,7446.4,0.9255136870792279,0.3369288506058535,1,7480.7
2020-01-30,724,3372,5704,0.8232421875,0.1767578125,-0.012590918581265376,0.012590918581265348,0.646484375,-0.646484375,0.6716662121625306,0.6994577846630519,0.7045336112558624,-0.6716662121625306,-0.6994577846630519,-0.7045336112558624,0.02518183716253064,0.027791572500521222,0.005075826592810584,7382.0,-1.36,-0.013576353626596873,7458.8,7482.15,0.038766425601889476,0.9646389012560543,0,7483.6
2020-01-31,674,3202,5210,0.826109391124871,0.173890608875129,0.0028672036248710286,-0.002867203624871001,0.6522187822497421,-0.6522187822497421,0.646484375,0.6716662121625306,0.6994577846630519,-0.646484375,-0.6716662121625306,-0.6994577846630519,-0.005734407249742057,0.02518183716253064,0.027791572500521222,7286.0,-1.3,-0.013004605797886752,7448.77,7432.8,-1.3576353626596873,-1.3193952437606082,0,7382.0
2020-02-01,582,2313,3978,0.7989637305699482,0.20103626943005182,-0.027145660554922846,0.027145660554922818,0.5979274611398964,-0.5979274611398964,0.6522187822497421,0.646484375,0.6716662121625306,-0.6522187822497421,-0.646484375,-0.6716662121625306,0.05429132110984569,-0.005734407249742057,0.02518183716253064,7306.15,0.28,0.002765577820477578,7383.87,7334.0,-1.3004605797886752,-2.6404404297397024,1,7286.0
